File                                sources  ra_min      ra_max      dec_min     dec_max
GaiaSource_044564-044916.csv.fapec  508697   0.000011    359.999977  45.795364   52.028059
GaiaSource_044917-045326.csv.fapec  517351   0.000018    24.400110   41.816015   54.339913
GaiaSource_045327-045787.csv.fapec  521897   12.859836   25.702907   45.001692   51.254664
GaiaSource_045788-046133.csv.fapec  517324   13.334647   26.657431   48.146264   54.334646
GaiaSource_046134-046433.csv.fapec  518338   20.770724   29.989481   49.705203   55.104372
GaiaSource_046434-046664.csv.fapec  514586   18.002193   28.722943   51.266985   57.395860
GaiaSource_046665-046893.csv.fapec  517765   15.005140   23.471941   52.815327   57.394911
GaiaSource_046894-047060.csv.fapec  509690   16.366452   24.542447   55.875660   58.917993
GaiaSource_047061-047323.csv.fapec  509527   6.928748    21.424619   48.145040   60.428080
GaiaSource_047324-047557.csv.fapec  508184   7.204423    14.997776   51.259571   55.866757
GaiaSource_047558-047770.csv.fapec  507509   1.838758    11.735857   51.260847   57.397756
GaiaSource_047771-047944.csv.fapec  507106   0.000021    359.999997  53.578863   57.395461
GaiaSource_047945-048099.csv.fapec  508373   0.000058    359.999987  55.881754   59.673791
GaiaSource_048100-048267.csv.fapec  509074   0.000002    359.999970  54.342346   60.432111
GaiaSource_048268-048417.csv.fapec  508572   8.183296    17.139058   56.639503   60.430200
GaiaSource_048418-048542.csv.fapec  509273   10.980728   17.994894   58.359300   61.940216
GaiaSource_048543-048681.csv.fapec  509182   4.795289    14.204712   57.403736   63.445484
GaiaSource_048682-048814.csv.fapec  510918   0.000023    360.000000  58.730258   61.937995
GaiaSource_048815-048922.csv.fapec  509685   0.000010    359.999999  60.438356   63.444882
GaiaSource_048923-049038.csv.fapec  505788   2.434076    9.990432    61.191407   64.947869
GaiaSource_049039-049162.csv.fapec  509466   0.000009    359.999716  41.819368   66.439172
GaiaSource_049163-049527.csv.fapec  507121   42.003421   51.422897   42.613474   49.308691
GaiaSource_049528-049851.csv.fapec  508173   38.579168   50.360979   44.999323   51.249880
GaiaSource_049852-050130.csv.fapec  507632   39.642390   48.457564   48.147502   52.797201
GaiaSource_050131-050376.csv.fapec  503575   43.209191   55.377693   48.154103   54.334639
GaiaSource_050377-050654.csv.fapec  502470   50.415918   59.993307   51.263599   56.445353
GaiaSource_050655-050902.csv.fapec  502958   45.006524   58.166155   51.257777   57.393946
GaiaSource_050903-051194.csv.fapec  503219   46.968935   57.262002   54.344017   60.052889
GaiaSource_051195-051461.csv.fapec  506937   34.621796   54.436047   48.147192   60.431527
GaiaSource_051462-051672.csv.fapec  506927   37.505318   44.995388   51.648121   56.245768
GaiaSource_051673-051878.csv.fapec  513689   30.626469   42.521998   51.263503   57.390247
GaiaSource_051879-052055.csv.fapec  513770   30.006268   40.900376   53.963874   57.777279
GaiaSource_052056-052208.csv.fapec  514363   32.734333   40.340524   55.878452   59.674092
GaiaSource_052209-052434.csv.fapec  503630   35.125870   49.086166   54.342652   60.420604
GaiaSource_052435-052636.csv.fapec  502542   42.863586   53.991538   57.404928   61.936816
GaiaSource_052637-052821.csv.fapec  506736   38.581462   52.092044   57.404838   63.436722
GaiaSource_052822-052987.csv.fapec  505538   36.007710   44.712189   58.923402   63.070330
GaiaSource_052988-053152.csv.fapec  511537   39.460619   49.988438   60.436979   64.945479
GaiaSource_053153-053326.csv.fapec  508095   40.006085   63.997214   54.344290   66.435982
GaiaSource_053327-053509.csv.fapec  502702   57.276866   66.969368   55.880196   60.424234
GaiaSource_053510-053785.csv.fapec  504233   56.519413   71.994346   57.404947   63.437317
GaiaSource_053786-053992.csv.fapec  502017   54.002840   62.995396   58.168450   62.684405
GaiaSource_053993-054357.csv.fapec  511631   56.844141   79.996262   60.437809   66.435444
GaiaSource_054358-054882.csv.fapec  511793   68.831222   90.000211   61.960313   69.408974
GaiaSource_054883-055358.csv.fapec  508725   52.114110   89.999927   60.437021   72.377838
GaiaSource_055359-055654.csv.fapec  513714   50.009916   67.493885   61.948599   67.187263
GaiaSource_055655-055982.csv.fapec  512274   45.008728   66.766374   63.452329   69.416449
GaiaSource_055983-056374.csv.fapec  509262   46.083249   71.986952   66.449427   72.377741
GaiaSource_056375-056973.csv.fapec  513563   61.216012   89.999998   67.939261   75.330507
GaiaSource_056974-057430.csv.fapec  513195   27.394608   89.998998   54.344739   78.259266
GaiaSource_057431-057578.csv.fapec  507836   24.551484   32.396306   55.883181   59.672206
GaiaSource_057579-057731.csv.fapec  506991   25.875356   35.991384   57.404717   61.936733
GaiaSource_057732-057872.csv.fapec  513718   23.028999   33.146884   57.403827   63.443529
GaiaSource_057873-057993.csv.fapec  506448   20.185953   26.996814   58.165257   61.938842
GaiaSource_057994-058131.csv.fapec  509331   18.002009   28.043693   59.493828   63.446418
GaiaSource_058132-058261.csv.fapec  511647   21.893548   29.995371   61.195012   64.943389
GaiaSource_058262-058417.csv.fapec  510636   20.006339   37.884772   60.438895   66.438335
GaiaSource_058418-058547.csv.fapec  511683   30.008755   39.997672   61.948173   64.941766
GaiaSource_058548-058704.csv.fapec  511217   30.864078   43.960977   63.450485   66.441498
GaiaSource_058705-058908.csv.fapec  509637   28.291829   44.990256   63.452919   69.414679
GaiaSource_058909-059070.csv.fapec  511138   22.506426   33.745616   64.202770   67.932693
GaiaSource_059071-059307.csv.fapec  509485   23.803315   38.548832   66.446969   70.897268
GaiaSource_059308-059485.csv.fapec  507047   14.221073   34.600466   60.435501   72.380117
GaiaSource_059486-059612.csv.fapec  507916   10.002296   18.508434   61.947037   65.320531
GaiaSource_059613-059764.csv.fapec  511279   10.590399   22.490579   63.455093   67.186892
GaiaSource_059765-059930.csv.fapec  509139   7.718738    20.308304   63.451694   69.419901
GaiaSource_059931-060160.csv.fapec  510569   0.000003    11.333588   64.204887   69.416875
GaiaSource_060161-060361.csv.fapec  507355   0.000105    12.851835   66.633320   70.903558
GaiaSource_060362-060555.csv.fapec  507353   0.000007    25.707748   66.447555   72.385163
GaiaSource_060556-060768.csv.fapec  506509   12.862948   29.993083   68.680279   73.123931
GaiaSource_060769-061006.csv.fapec  506854   6.933491    27.384760   69.425334   75.335403
GaiaSource_061007-061279.csv.fapec  506385   0.000042    359.999854  70.912427   76.075330
GaiaSource_061280-061679.csv.fapec  508936   0.000220    359.999853  66.450096   78.280324
GaiaSource_061680-062087.csv.fapec  508808   33.532156   59.971950   69.423703   75.331841
GaiaSource_062088-062587.csv.fapec  510475   30.018533   71.987396   71.284396   78.277746
GaiaSource_062588-063327.csv.fapec  514915   45.045196   89.999966   73.870011   81.945220
GaiaSource_063328-063878.csv.fapec  509318   18.015626   89.999502   72.392972   84.131287
GaiaSource_063879-064444.csv.fapec  508343   0.000127    359.999930  75.347565   82.675287
GaiaSource_064445-065281.csv.fapec  512369   0.000093    89.999714   78.291268   87.069459
GaiaSource_065282-066955.csv.fapec  533558   0.002012    146.244133  0.012617    89.989044
GaiaSource_066956-068628.csv.fapec  531444   123.763659  144.835935  4.787407    14.466782
GaiaSource_068629-071195.csv.fapec  552661   129.380679  157.484430  9.604506    22.006758
GaiaSource_071196-073887.csv.fapec  551778   121.655019  154.668455  9.606169    29.978615
GaiaSource_073888-075228.csv.fapec  521847   118.144498  134.999495  11.419382   21.054402
GaiaSource_075229-076419.csv.fapec  518990   113.560304  133.228363  14.479872   24.606350
GaiaSource_076420-077686.csv.fapec  518928   112.509974  129.363453  18.527171   28.111021
GaiaSource_077687-080127.csv.fapec  537942   120.946173  146.243233  19.474179   35.664075
GaiaSource_080128-082787.csv.fapec  542581   123.757663  163.116439  19.492110   41.786295
GaiaSource_082788-086703.csv.fapec  562736   146.254119  174.357611  24.634369   41.799922
GaiaSource_086704-090620.csv.fapec  565577   143.442813  180.000440  30.002014   54.327819
GaiaSource_090621-093880.csv.fapec  556480   135.014833  157.487832  32.817026   51.240545
GaiaSource_093881-097402.csv.fapec  564474   142.372709  180.000008  41.846431   60.406190
GaiaSource_097403-098884.csv.fapec  526184   108.288366  180.000408  19.478756   66.385069
GaiaSource_098885-099873.csv.fapec  519733   106.880411  123.723824  23.323391   32.783181
GaiaSource_099874-100751.csv.fapec  519085   104.063793  120.914439  24.627376   35.681705
