 oidref |                 id                 
380604  |"Gaia DR3 1123169888190445568"      
380960  |"Gaia DR3 1110871270814745344"      
380960  |"NAME NC 63"                        
387849  |"Gaia DR3 1625209684868707328"      
387849  |"HIP  80331"                        
387849  |"NAME Athebyne"                     
389721  |"HIP  75097"                        
389721  |"NAME Pherkad"                      
390148  |"Gaia DR3 1696798367260229376"      
390148  |"HIP  74793"                        
390148  |"NAME Pherkad Minor"                
390420  |"HIP  72607"                        
390420  |"NAME Kochab"                       
391316  |"Gaia DR3 1693159194226600192"      
391316  |"HIP  58952"                        
391316  |"NAME Tonatiuh"                     
391921  |"NAME OKM2018 SWIFT J1104.8+7689"   
391921  |"Gaia DR3 1128389102385082368"      
395580  |"Gaia DR3 990291507088739072"       
395580  |"NAME Koit"                         
397726  |"Gaia DR3 954417466329819008"       
397726  |"NAME IRAS F06538+4628 SW"          
398243  |"Gaia DR3 1407390177932918400"      
398243  |"NAME Zwicky's Triplet"             
398862  |"Gaia DR3 1407718450873494784"      
398862  |"NAME TrES-Her0-07621"              
408585  |"Gaia DR3 1692267077979468544"      
408585  |"HIP  61177"                        
408585  |"NAME Funi"                         
409196  |"NAME OKM2018 SWIFT J1146.7+7437"   
409196  |"Gaia DR3 1076245484991921024"      
409764  |"NAME OKM2018 SWIFT J1017.8+7340"   
409764  |"Gaia DR3 1078032981660206080"      
417333  |"Gaia DR3 1621450076654263040"      
417333  |"NAME Tadpole Galaxy"               
425596  |"NAME OKM2018 SWIFT J1536.5+6177"   
425596  |"Gaia DR3 1639635792820325120"      
428179  |"NAME OKM2018 SWIFT J1231.3+7073"   
428179  |"Gaia DR3 1689207755594579968"      
431477  |"Gaia DR3 1070560558903792384"      
431477  |"NAME Hoag 3"                       
434630  |"Gaia DR3 1070470609404512512"      
434630  |"NAME M 81*"                        
434630  |"NAME Bode's Galaxy"                
437580  |"Gaia DR3 1090159839002347136"      
437580  |"HIP  40687"                        
437580  |"NAME Nasti"                        
437634  |"Gaia DR3 1041808368494264576"      
437634  |"HIP  41704"                        
437634  |"NAME Muscida"                      
439256  |"Gaia DR3 985912014836950656"       
439256  |"NAME DA 240 LVS"                   
444249  |"HIP  75458"                        
444249  |"NAME Edasich"                      
445312  |"Gaia DR3 1668694923070220544"      
445312  |"NAME EAD 1 ID"                     
445313  |"Gaia DR3 1668695816423444480"      
445313  |"NAME EAD 2 ID"                     
446254  |"HIP  68756"                        
446254  |"NAME Thuban"                       
447949  |"HIP  56211"                        
447949  |"NAME Giausar"                      
447961  |"NAME OKM2018 SWIFT J1130.9+6887"   
447961  |"Gaia DR3 1061128574499648512"      
449599  |"Gaia DR3 1073019277357042048"      
449599  |"NAME Coddington's Nebula"          
453842  |"NAME OKM2018 SWIFT J0733.5+4421"   
453842  |"Gaia DR3 973390673339592192"       
456275  |"Gaia DR3 1601068704489243776"      
456275  |"NAME NC 77"                        
456749  |"Gaia DR3 1612469884155499136"      
456749  |"HIP  73837"                        
456749  |"NAME PZT+55 5210"                  
461465  |"Gaia DR3 1677302170674242560"      
461465  |"HIP  63076"                        
461465  |"NAME Taiyi"                        
461826  |"Gaia DR3 1679124752931512960"      
461826  |"HIP  62423"                        
461826  |"NAME Tianyi"                       
464520  |"NAME OKM2018 SWIFT J1019.5+6389"   
464520  |"Gaia DR3 1053351556957717376"      
466298  |"Gaia DR3 1037829781374251392"      
466298  |"NAME Helix Galaxy"                 
466298  |"NAME Pancake Galaxy"               
467348  |"Gaia DR3 1030269814297816448"      
467348  |"NAME NC 68"                        
468291  |"Gaia DR3 1028742871820608896"      
468291  |"NAME APM 08279+5255"               
468291  |"NAME APM 0827+525"                 
468938  |"NAME OKM2018 SWIFT J0801.7+4764"   
468938  |"Gaia DR3 932909026026715008"       
470069  |"Gaia DR3 1384866854036828032"      
470069  |"NAME Case 2"                       
471460  |"Gaia DR3 1401269673441568384"      
471460  |"NAME NC 78"                        
472949  |"Gaia DR3 1595941441250636672"      
472949  |"NAME Jacoby 1"                     
481817  |"Gaia DR3 1583579936961073536"      
481817  |"NAME SMM J123716.01+620323.3"      
486427  |"HIP  54061"                        
486427  |"NAME Dubhe"                        
494344  |"Gaia DR3 931462858998575872"       
494344  |"NAME Lyn A"                        
498686  |"NAME OKM2018 SWIFT J1442.9+5206"   
498686  |"Gaia DR3 1605626386344892672"      
501773  |"NAME OKM2018 SWIFT J1320.5+6022"   
501773  |"Gaia DR3 1663092017972634112"      
503560  |"Gaia DR3 846615127231002880"       
503560  |"NAME TS 01"                        
505516  |"Gaia DR3 855040440020437504"       
505516  |"NAME UMa B"                        
507138  |"Gaia DR3 1044961660466821888"      
507138  |"NAME NGC 3073 UB2"                 
507143  |"Gaia DR3 1044966127232936320"      
507143  |"NAME NGC 3073 UB1"                 
507144  |"Gaia DR3 1044972522439447552"      
507144  |"NAME XMM J100205.31+554258.9"      
507144  |"NAME NGC 3079 U4"                  
507144  |"NAME NGC 3079 UB4"                 
507144  |"NAME NGC 3073 UB4"                 
507146  |"Gaia DR3 1045166002126206848"      
507146  |"NAME Twin Quasar"                  
515904  |"HIP  73695"                        
515904  |"NAME I Boo*"                       
529189  |"NAME OKM2018 SWIFT J1345.5+5352"   
529189  |"Gaia DR3 1561000748426882816"      
529536  |"Gaia DR3 1563590510627624064"      
529536  |"NAME Mizar B"                      
529537  |"HIP  65378"                        
529537  |"NAME Mizar"                        
529541  |"Gaia DR3 1563586799775391104"      
529541  |"NAME Stella Ludoviciana"           
529550  |"Gaia DR3 1563590579347125632"      
529550  |"NAME Mizar A"                      
529551  |"Gaia DR3 1565090003967879424"      
529551  |"HIP  65477"                        
529551  |"NAME Alcor"                        
529760  |"Gaia DR3 1562409802641020416"      
529760  |"NAME Mrk 273x"                     
529836  |"NAME OKM2018 SWIFT J1344.7+5588"   
529836  |"Gaia DR3 1562412658794284032"      
530581  |"Gaia DR3 1576683529448755328"      
530581  |"HIP  62956"                        
530581  |"NAME Alioth"                       
531922  |"Gaia DR3 1575287046603605888"      
531922  |"HIP  59774"                        
531922  |"NAME Megrez"                       
532544  |"Gaia DR3 845335158256083584"       
532544  |"HIP  57820"                        
532544  |"NAME Aniara"                       
532634  |"NAME OKM2018 SWIFT J1153.9+5848"   
532634  |"Gaia DR3 846275000180700288"       
534420  |"HIP  53910"                        
534420  |"NAME Merak"                        
538681  |"Gaia DR3 1019265008573696768"      
538681  |"NAME NGC 2841 UB 3"                
539141  |"Gaia DR3 1013261846885432576"      
539141  |"NAME NGC 2769 Group"               
539658  |"HIP  44471"                        
539658  |"NAME Alkaphrah"                    
539678  |"HIP  44127"                        
539678  |"NAME Talitha"                      
539815  |"NAME OKM2018 SWIFT J0859.1+4878"   
539815  |"Gaia DR3 1015641228702925312"      
541542  |"HIP  41075"                        
541542  |"NAME Alsciaukat"                   
543565  |"Gaia DR3 1392396172224832896"      
543565  |"HIP  74961"                        
543565  |"NAME Nikawiy"                      
545147  |"Gaia DR3 1589840624889560576"      
545147  |"HIP  72487"                        
545147  |"NAME Merga"                        
545611  |"Gaia DR3 1603298887731430400"      
545611  |"NAME NGC 5682 BSO 1"               
547651  |"Gaia DR3 1560420854826284928"      
547651  |"HIP  66192"                        
547651  |"NAME Liesma"                       
548918  |"NAME OKM2018 SWIFT J1238.4+5349"   
548918  |"Gaia DR3 1570718644510333568"      
550487  |"Gaia DR3 792588939773693568"       
550487  |"HIP  58001"                        
550487  |"NAME Phecda"                       
552802  |"Gaia DR3 843950873117830528"       
552802  |"NAME Owl Nebula"                   
554208  |"Gaia DR3 837035254216960128"       
554208  |"NAME CW 1045+525"                  
556792  |"NAME OKM2018 SWIFT J0930.1+4987"   
556792  |"Gaia DR3 1018062142852758784"      
562965  |"Gaia DR3 1585291468545257088"      
562965  |"NAME CG 1457+42"                   
564558  |"HIP  69732"                        
564558  |"NAME Xuange"                       
566010  |"Gaia DR3 1510374147844219904"      
566010  |"HIP  67301"                        
566010  |"NAME Alkaid"                       
566010  |"NAME Alcaid"                       
568259  |"Gaia DR3 1548104507825815296"      
568259  |"NAME Case 1"                       
569860  |"NAME OKM2018 SWIFT J1132.7+5301"   
569860  |"Gaia DR3 841054411602049280"       
576077  |"Gaia DR3 818464227945910016"       
576077  |"HIP  46471"                        
576077  |"NAME Intercrus"                    
576390  |"Gaia DR3 818809612035733632"       
576390  |"NAME Lyn B"                        
580536  |"HIP  73555"                        
580536  |"NAME Nekkar"                       
589940  |"Gaia DR3 786854196368863360"       
589940  |"NAME Miniature Spiral"             
590481  |"HIP  57399"                        
590481  |"NAME Taiyangshou"                  
590481  |"NAME Alkafzah"                     
598172  |"Gaia DR3 815345046600870912"       
598172  |"NAME NGC 2782 U1"                  
601929  |"Gaia DR3 1487434040320076800"      
601929  |"HIP  71075"                        
601929  |"NAME Seginus"                      
608073  |"Gaia DR3 1542553623374596352"      
608073  |"HIP  62223"                        
608073  |"NAME La Superba"                   
613394  |"Gaia DR3 805881416880407936"       
613394  |"HIP  50372"                        
613394  |"NAME Tania Borealis"               
618726  |"Gaia DR3 718648672591202048"       
618726  |"NAME IIHz4"                        
618726  |"NAME II Hz 4"                      
620084  |"Gaia DR3 121689759370599680"       
620084  |"NAME NC 14"                        
620962  |"NAME OKM2018 SWIFT J0300.2+1655"   
620962  |"Gaia DR3 34308546653546496"        
622399  |"HIP  14135"                        
622399  |"NAME Menkar"                       
626763  |"Gaia DR3 5153091836072107008"      
626763  |"NAME BD-17 588BC"                  
627980  |"Gaia DR3 5079636934554540160"      
627980  |"HIP  13993"                        
627980  |"NAME Ayeyarwady"                   
630801  |"Gaia DR3 62929796398652160"        
630801  |"NAME 3HSP J032160.0+233611"        
630894  |"HIP  14838"                        
630894  |"NAME Botein"                       
634402  |"Gaia DR3 5166714578981717632"      
634402  |"HIP  15197"                        
634402  |"NAME Zibal"                        
637148  |"Gaia DR3 5053536074700031616"      
637148  |"HIP  15578"                        
637148  |"NAME Intan"                        
637461  |"NAME OKM2018 SWIFT J0313.2-3507"   
637461  |"Gaia DR3 5048016251450868736"      
638344  |"Gaia DR3 121406699550262528"       
638344  |"NAME NGC 1333 IRS 2"               
638427  |"Gaia DR3 121404539181984768"       
638427  |"NAME SSS 107"                      
638813  |"Gaia DR3 121404607901460864"       
638813  |"NAME SSS 108"                      
639562  |"Gaia DR3 121392513273556992"       
639562  |"NAME HH 7-11 IRS"                  
639562  |"NAME HH 7-11 MMS 1"                
639562  |"NAME NGC 1333 IRS 13"              
639562  |"NAME 7-11(A)"                      
639775  |"Gaia DR3 120899657186458752"       
639775  |"NAME LDN 1455 IRS 2"               
642739  |"NAME OKM2018 SWIFT J0324.9-0304"   
642739  |"Gaia DR3 3261073323874745600"      
